Name,Market Cap,P/E,Fwd P/E,PEG,P/S,P/B,P/C,P/FCF,EPS past 5Y,EPS next 5Y,Sales past 5Y,Change,Volume
REIT - Mortgage,69.93B,10.1,7.45,4.1,2.13,0.91,4.63,17.03,0.17309999999999998,0.0246,0.2685,0.012199999999999999,88040000.0
REIT - Office,56.42B,31.74,76.99,1.47,3.11,1.02,10.95,10.69,-0.1462,0.2152,0.048,0.018799999999999997,22910000.0
REIT - Residential,191.59B,28.01,41.09,,7.68,2.4,63.75,20.98,0.1518,-0.1096,0.0738,0.0123,83230000.0
REIT - Retail,247.40B,36.15,34.26,,8.98,2.35,59.25,19.5,0.21660000000000001,-0.0239,0.1461,0.0078000000000000005,37600000.0
REIT - Specialty,401.20B,34.93,35.98,2.65,7.22,6.26,34.33,42.56,0.1525,0.1318,0.0611,-0.0049,41330000.0
Rental & Leasing Services,175.68B,19.9,16.8,1.21,1.89,3.09,13.39,87.78,0.049100000000000005,0.16399999999999998,0.1797,0.0089,27810000.0
Residential Construction,185.09B,14.32,13.68,1.95,1.19,1.84,10.66,17.66,0.1477,0.0733,0.09480000000000001,0.0131,16210000.0
Resorts & Casinos,96.52B,21.02,15.41,2.14,1.13,5.39,7.39,16.18,0.11869999999999999,0.0984,0.2602,0.0347,56130000.0
Restaurants,604.03B,32.9,24.38,2.75,3.46,22.7,40.62,32.18,0.1721,0.1198,0.09970000000000001,0.0075,87180000.0
Scientific & Technical Instruments,275.52B,44.72,24.2,2.56,5.27,4.51,25.15,35.54,0.0593,0.17489999999999997,0.09759999999999999,-0.0087,27790000.0
Security & Protection Services,45.84B,20.3,15.02,1.9,1.9,3.71,13.77,14.54,0.2,0.10710000000000001,0.0809,0.0182,16140000.0
Semiconductor Equipment & Materials,1546.57B,49.45,31.49,2.35,12.48,16.15,33.44,49.36,0.2109,0.21059999999999998,0.1439,-0.038,77620000.0
Semiconductors,10240.59B,42.99,35.75,1.17,14.18,12.02,34.06,53.32,0.5905,0.3678,0.3954,-0.0395,717850000.0
