ticker,name,sector,industry,marketCap
ITW,Illinois Tool Works Inc.,Industrials,Specialty Industrial Machinery,77145473024.0
CVS,CVS Health Corporation,Healthcare,Healthcare Plans,92778340352.0
ING,ING Groep N.V.,Financial Services,Banks - Diversified,70253936640.0
MFG,"Mizuho Financial Group, Inc.",Financial Services,Banks - Regional,82228740096.0
AJG,Arthur J. Gallagher & Co.,Financial Services,Insurance Brokers,77613899776.0
ECL,Ecolab Inc.,Basic Materials,Specialty Chemicals,78575468544.0
SNOW,Snowflake Inc.,Technology,Software - Application,79630819328.0
BK,The Bank of New York Mellon Corporation,Financial Services,Banks - Diversified,74473447424.0
MSI,"Motorola Solutions, Inc.",Technology,Communication Equipment,78713724928.0
CVNA,Carvana Co.,Consumer Cyclical,Auto & Truck Dealerships,43494928384.0
WMB,"The Williams Companies, Inc.",Energy,Oil & Gas Midstream,70681903104.0
USB,U.S. Bancorp,Financial Services,Banks - Regional,75988754432.0
INFY,Infosys Limited,Technology,Information Technology Services,70490095616.0
CP,Canadian Pacific Kansas City Limited,Industrials,Railroads,69940592640.0
BCS,Barclays PLC,Financial Services,Banks - Diversified,68880097280.0
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,67947139072.0
NEM,Newmont Corporation,Basic Materials,Gold,81724686336.0
BNS,The Bank of Nova Scotia,Financial Services,Banks - Diversified,77604052992.0
NGG,National Grid plc,Utilities,Utilities - Regulated Electric,70022799360.0
NET,"Cloudflare, Inc.",Technology,Software - Infrastructure,72731680768.0
EPD,Enterprise Products Partners L.P.,Energy,Oil & Gas Midstream,69591138304.0
JCI,Johnson Controls International plc,Industrials,Building Products & Equipment,69947211776.0
CM,Canadian Imperial Bank of Commerce,Financial Services,Banks - Diversified,71837270016.0
CNQ,Canadian Natural Resources Limited,Energy,Oil & Gas E&P,65856372736.0
ZTS,Zoetis Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,69313822720.0
EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,68150849536.0
VST,Vistra Corp.,Utilities,Utilities - Independent Power Producers,64074252288.0
APD,"Air Products and Chemicals, Inc.",Basic Materials,Specialty Chemicals,65455353856.0
CRH,CRH plc,Basic Materials,Building Materials,75846492160.0
ELV,"Elevance Health, Inc.",Healthcare,Healthcare Plans,71752966144.0
AZO,"AutoZone, Inc.",Consumer Cyclical,Auto Parts,70235947008.0
LYG,Lloyds Banking Group plc,Financial Services,Banks - Regional,64179650560.0
DB,Deutsche Bank Aktiengesellschaft,Financial Services,Banks - Regional,67665653760.0
HLT,Hilton Worldwide Holdings Inc.,Consumer Cyclical,Lodging,64927653888.0
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,72422645760.0
NSC,Norfolk Southern Corporation,Industrials,Railroads,62814633984.0
ET,Energy Transfer LP,Energy,Oil & Gas Midstream,60827086848.0
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,63748190208.0
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,59951718400.0
